Quiz ID	Quiz Date	Time of Day	Host	Special Quiz?	Link	Notes
9c3b3dbd-afc8-490d-834c-fd58eccb21cf	2/28/18	Afternoon	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=2nV-3uKMy2I	
09ce4c6f-7302-40c9-9331-446c2f7c3b96	2/28/18	Evening	Sarah Pribis	FALSE	https://www.youtube.com/watch?v=tiHYhtwKi6k	
e831425a-2fea-4ab6-86da-72100d92ed7c	3/1/18	Afternoon	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=U_sZ9wzRcak	
31fb2b1e-e8b1-4917-9c1b-67c4e2164f66	3/1/18	Evening	Sarah Pribis	FALSE	https://www.youtube.com/watch?v=o0YPLEkwTzM	
5a677f58-eeed-44f7-b924-dc8cf8105670	3/2/18	Afternoon	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=Yeor2IWgPug	
fca596ab-3551-4f58-a9d2-b446fb8977cb	3/2/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=SXeEGZHE5qI	
b4b39ddf-fbca-42a9-9bbd-c5ac36b99f45	3/3/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=wkRiWmF4a0A	
6bb789e2-8a02-4b25-9d96-8e7057c4c6ad	3/4/18	Evening	Scott Rogowsky	TRUE	https://www.youtube.com/watch?v=Y4fRv4Q4UfU	15 questions, $50000 prize
1e9ce051-1739-4971-84d2-bf5f9cc63ed0	3/5/18	Afternoon	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=9hEfLPLDlaw	
c40223af-0464-4291-9c78-19e12a9887f0	3/5/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=3kRFliZkIuI	
46e6a8fc-dee9-4136-ad28-1432d613a104	3/6/18	Afternoon	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=o76n9hQ9XtU	
87b61de7-0473-49b8-92f1-a217107ca4b9	3/6/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=Cel9opmL4Q0	
91b21b8c-f637-4dc8-b2b5-5b6abd0d19b4	3/7/18	Afternoon	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=8PT6CStVg5s	
38d0a9da-ab5b-4d23-a413-1bae99a59659	3/7/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=-AyRK_BpI5I	
5f345e51-ca59-4e15-8bef-05b399746819	3/8/18	Afternoon	Sarah Pribis	FALSE	https://www.youtube.com/watch?v=sdyIYi2ZeXI	
0d3c27d4-6882-4232-8b7e-0a580dc5216e	3/8/18	Evening	Sarah Pribis	FALSE	https://www.youtube.com/watch?v=TZm2R7ERs6k	
0415fdd1-cc85-46ed-b7e8-42a9cacd565e	3/9/18	Afternoon	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=fn2IeP-3hi4	
4ee5fdf8-6f13-43c1-9e79-dbbe0098eb16	3/9/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=ZfDtjHT-PCY	
e3c49950-e593-41e3-a3f9-8642eb7717bf	3/10/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=dxjCJ-elS6w	
8af18ac2-9270-4f59-9eb9-a57fc3e9e5c4	3/11/18	Evening	Scott Rogowsky	FALSE	https://www.youtube.com/watch?v=IPzLRsTd4Qk	One winner, $25000 prize
61f531b1-c6c6-4fad-9fe6-ffe7b78cd248	3/12/18	Afternoon	Sarah Pribis	FALSE	https://www.youtube.com/watch?v=0uPmWsJimnc	
323193a7-7c16-420e-b7f9-0df9eecff777	3/12/18	Evening	Sarah Pribis	FALSE	https://www.youtube.com/watch?v=xUwx5BoVYjw	
